學院,開課系所,流水號,課號,課程名稱,英文課名,授課教師,學分,時間/教室,選別,全/半,人數限制,分發條件
"資訊電機學院","電機工程學系","51012","EE2016-A","數位系統導論","Introduction to Digital Systems","許鈞瓏","3","Wed2/E1-120 Fri78/E1-120","必修","半","80","51012
EE2016	數位系統導論
Introduction to Digital Systems

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
2	系所:限資訊電機學院學士班。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51013","EE2016-B","數位系統導論","Introduction to Digital Systems","周求致","3","Wed2/E1-121 Fri78/E1-121","必修","半","80","51013
EE2016	數位系統導論
Introduction to Digital Systems

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
2	系所:限資訊電機學院學士班。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51014","EE2027-A","電子電路實驗Ⅰ","Electronic Circuits Laboratory I","薛木添","1","Thu789/E1-223","必修","半","70","51014
EE2027	電子電路實驗Ⅰ
Electronic Circuits Laboratory I

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限A。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51015","EE2027-B","電子電路實驗Ⅰ","Electronic Circuits Laboratory I","薛木添","1","Mon789/E1-223","必修","半","70","51015
EE2027	電子電路實驗Ⅰ
Electronic Circuits Laboratory I

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限B。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51016","EE2030-A","工程數學-複變","Engineering Mathematics-Complex Variables","歐陽良昱","3","Wed6/E1-120 Thu34/E1-120","必修","半","80","51016
EE2030	工程數學-複變
Engineering Mathematics-Complex Variables

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限A。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51017","EE2030-B","工程數學-複變","Engineering Mathematics-Complex Variables","林祐生","3","Wed6/E1-121 Thu34/E1-121","必修","半","80","51017
EE2030	工程數學-複變
Engineering Mathematics-Complex Variables

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限B。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51018","EE3001-*","電子學 Ⅲ","Electronics Ⅲ","邱煥凱","3","Mon234/E1-124","選修","半","120","51018
EE3001	電子學 Ⅲ
Electronics Ⅲ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限四年級。
1	系所:限電機工程學系。年級:限三年級。
2	系所:限通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51019","EE3003-*","控制系統","Control System","吳俊緯","3","Tue56/E1-124 Wed5/E1-124","選修","半","140","51019
EE3003	控制系統
Control System

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。
3	學制:限學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51020","EE3004-*","通訊原理","Communication Theory","魏瑞益","3","Thu2/E1-102 Fri34/E1-102","選修","半","70","51020
EE3004	通訊原理
Communication Theory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限輔系-電機工程學系、雙主修-電機工程學系、第二專長-智慧電子。"
"資訊電機學院","電機工程學系","51021","EE3010-*","電機機械","Electrical Machines","廖益弘","3","Mon678/E6-B518","選修","半","50","51021
EE3010	電機機械
Electrical Machines

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51022","EE3032-*","超大型積體電路導論","Introduction to VLSI","李進福","3","Thu234/E1-124","選修","半","120","51022
EE3032	超大型積體電路導論
Introduction to VLSI

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級。
1	系所:限電機工程學系。年級:限四年級。
2	系所:限通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51025","EE3046-*","微算機原理與實作","Microcomputer Theory and Laboratory","蔡章仁","3","Fri234/E1-223","選修","半","70","51025
EE3046	微算機原理與實作
Microcomputer Theory and Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級、三年級、四年級。
2	學院:限資訊電機學院。年級:限二年級、三年級、四年級。
3	學制:限學士班。年級:限二年級、三年級、四年級、五年級。"
"資訊電機學院","電機工程學系","51026","EE3047-A","電子電路實驗Ⅲ","Electronical Circuits Laboratory Ⅲ","許晉瑋","1","Wed789/E1-223","必修","半","70","51026
EE3047	電子電路實驗Ⅲ
Electronical Circuits Laboratory Ⅲ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級。班別:限A。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限資訊電機學院學士班。年級:限三年級、四年級。
4	系所:限輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51027","EE3047-B","電子電路實驗Ⅲ","Electronical Circuits Laboratory Ⅲ","許晉瑋","1","Tue789/E1-223","必修","半","70","51027
EE3047	電子電路實驗Ⅲ
Electronical Circuits Laboratory Ⅲ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級。班別:限B。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限資訊電機學院學士班。年級:限三年級、四年級。
4	系所:限輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51032","EE4038-*","天線工程導論","Introduction to Antenna Engineering","凃文化","3","Mon34/E1-123 Wed5/E1-123","選修","半","40","51032
EE4038	天線工程導論
Introduction to Antenna Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	學制:限學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51033","EE4042-*","光電元件專題實驗","Special Topics on Optoelectronic Experiments","辛正倫","3","Fri567/E1-107","選修","半","20","51033
EE4042	光電元件專題實驗
Special Topics on Optoelectronic Experiments

優先順序	相關條件限制說明
1	系所:限電機工程學系、資訊電機學院學士班。年級:限四年級。
2	系所:限電機工程學系、資訊電機學院學士班。年級:限三年級。"
"資訊電機學院","電機工程學系","51034","EE5006-*","天線","Antennas","丘增杰","3","Mon6/E1-107 Wed56/E1-107","選修","半","40","51034
EE5006	天線
Antennas

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51036","EE6009-*","數位信號處理","Digital Signal Processing","李柏磊","3","Tue567/E1-121","選修","半","120","51036
EE6009	數位信號處理
Digital Signal Processing

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。
3	學院:限資訊電機學院。"
"資訊電機學院","電機工程學系","51038","EE6013-*","超大型積體電路設計","VLSI Design","鄭國興","3","Tue567/E1-109","選修","半","70","51038
EE6013	超大型積體電路設計
VLSI Design

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限人工智慧國際碩士學位學程。
3	系所:限資訊電機學院學士班。年級:限四年級。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。年級:限四年級。"
"資訊電機學院","電機工程學系","51040","EE6044-*","半導體元件","Semiconductor Devices","辛裕明","3","Wed34Z/E1-121","選修","半","30","51040
EE6044	半導體元件
Semiconductor Devices

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	學制:限學士班。學院:限資訊電機學院。系所:限電機工程學系。年級:限四年級。
3	系所:限光電科學與工程學系。年級:限四年級。
3	系所:限光電科學與工程學系碩士班、光電科學與工程學系博士班。"
"資訊電機學院","電機工程學系","51041","EE6054-A","書報討論","Seminar","陳正一","0","Wed78/E1-124","必修","半","無","51041
EE6054	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系產業博士班。
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51043","EE6054-C","書報討論","Seminar","林法正","0","Wed78/E1-123","必修","半","無","51043
EE6054	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51045","EE6054-E","書報討論","Seminar","周求致","0","Wed78/E1-120","必修","半","無","51045
EE6054	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51053","EE8027-*","射頻積體電路設計","Radio Frequency Integrated Circuit","邱煥凱","3","Wed234/E1-123","選修","半","30","51053
EE8027	射頻積體電路設計
Radio Frequency Integrated Circuit

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限四年級。"
"資訊電機學院","電機工程學系","51060","EE8079-*","功率電子元件","Power Semiconductor Devices","辛裕明","3","TueZ56/E1-101","選修","半","30","51060
EE8079	功率電子元件
Power Semiconductor Devices

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限光電科學與工程學系、資訊電機學院學士班。年級:限四年級。
3	系所:限光電科學與工程學系碩士班、光電科學與工程學系博士班。"
"資訊電機學院","電機工程學系","51062","EE8089-*","雷達訊號處理與系統工程","Radar Signal Processing and System Engineering","歐陽良昱","3","Thu5/E1-121 Fri34/E1-121","選修","半","40","51062
EE8089	雷達訊號處理與系統工程
Radar Signal Processing and System Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系產業博士班。
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。
3	系所:限資訊電機學院學士班。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51063","EE8090-*","電力電子電路分析與設計","Analysis and Design of Power Electronics","廖益弘","3","Thu234/E6-B518","選修","半","50","51063
EE8090	電力電子電路分析與設計
Analysis and Design of Power Electronics

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51064","EE8093-*","半導體封測實務","Semiconductor Packaging and Testing","陳正一","3","Fri678/E1-123","選修","半","70","51064
EE8093	半導體封測實務
Semiconductor Packaging and Testing

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
1	系所:限電機工程學系產業博士班。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限資訊電機學院學士班。年級:限四年級。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。年級:限四年級。"
"資訊電機學院","通訊工程學系","53007","CO2012-*","資料結構","Data Structure","許獻聰","3","Wed6/E1-111 Thu34/E1-111","選修","半","70","53007
CO2012	資料結構
Data Structure

優先順序	相關條件限制說明
1	系所:限通訊工程學系。年級:限二年級。
2	系所:限通訊工程學系。年級:限三年級、四年級。
3	系所:限輔系-通訊工程學系、雙主修-通訊工程學系、第二專長-通訊工程。
4	系所:限資訊電機學院學士班。
5	系所:限電機工程學系、資訊工程學系。"
"資訊電機學院","通訊工程學系","53009","CO3001-*","通訊實驗I","Communications Experiment Ⅰ","陳永芳","1","TueABC/E1-339","必修","半","60","53009
CO3001	通訊實驗I
Communications Experiment Ⅰ

優先順序	相關條件限制說明
1	系所:限通訊工程學系。年級:限三年級。
2	系所:限通訊工程學系。年級:限四年級。
2	系所:限資訊電機學院學士班。年級:限三年級、四年級。
3	系所:限雙主修-通訊工程學系。
4	系所:限電機工程學系。年級:限三年級、四年級。"
"資訊電機學院","通訊工程學系","53014","CO4009-*","通訊傳輸系統實驗","Experiments of Wireless Transceiver System","陳逸民","3","Wed234/E1-219","選修","半","50","53014
CO4009	通訊傳輸系統實驗
Experiments of Wireless Transceiver System

優先順序	相關條件限制說明
1	系所:限通訊工程學系、資訊電機學院學士班。年級:限四年級。
2	系所:限電機工程學系。年級:限四年級。"
"資訊電機學院","資訊電機學院學士班","56001","IP1001-*","資電工程概論","Introduction to Electrical and Computer Engineering","陳聿廣","2","Mon78/E1-111","必修","半","65","56001
IP1001	資電工程概論
Introduction to Electrical and Computer Engineering

優先順序	相關條件限制說明
1	系所:限資訊電機學院學士班。年級:限一年級。
2	系所:限電機工程學系、資訊工程學系、通訊工程學系。年級:限一年級。"
