學院,開課系所,流水號,課號,課程名稱,英文課名,授課教師,學分,時間/教室,選別,全/半,人數限制,分發條件
"中心、處室","核心通識課程","07014","CC0328-*","機器學習","Machine Learning","孫敏德","3","Thu789/E6-A303","選修","半","60","7014
CC0328	機器學習
Machine Learning

優先順序	相關條件限制說明
1	學制:限學士班。系所:限非資訊管理學系、非資訊電機學院、非電機工程學系、非資訊工程學系、非通訊工程學系。"
"文學院","中國文學系","11001","CL0126-*","國文（A）經典閱讀：傳統節氣作品選讀","Chinese (A)： Season Celebrates and Literature","李宜學","3","Tue2/C2-106 Thu34/C2-106","必修","半","58","11001
CL0126	國文（A）經典閱讀：傳統節氣作品選讀
Chinese (A)： Season Celebrates and Literature

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11003","CL0127-B","國文（A）經典閱讀：古典小說選讀","Chinese (A)：Readings of Selected Classical Chinese Novels","康珮","3","Tue2/C2-101 Thu34/C2-101","必修","半","58","11003
CL0127	國文（A）經典閱讀：古典小說選讀
Chinese (A)：Readings of Selected Classical Chinese Novels

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11007","CL0132-*","國文（A）經典閱讀：中國哲學選讀","Chinese (A)：Chinese Philosophy and Life","劉德明","3","Tue2/C2-110 Thu34/C2-110","必修","半","58","11007
CL0132	國文（A）經典閱讀：中國哲學選讀
Chinese (A)：Chinese Philosophy and Life

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11012","CL0143-*","國文（Ａ）經典閱讀：中國現代文學名家選","Chinese（A）: Selected Masterpieces of Modern Chinese Literature","宋玉雯","3","Tue2/C2-111 Thu34/C2-111","必修","半","58","11012
CL0143	國文（Ａ）經典閱讀：中國現代文學名家選
Chinese（A）: Selected Masterpieces of Modern Chinese Literature

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11015","CL0149-*","國文（Ａ）經典閱讀：漢字文化經典選讀","Chinese（A）: Selected Readings of Chinese Character Cultural Classics","胡雲鳳","3","Tue2/C2-113 Thu34/C2-113","必修","半","58","11015
CL0149	國文（Ａ）經典閱讀：漢字文化經典選讀
Chinese（A）: Selected Readings of Chinese Character Cultural Classics

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。年級:限二年級。身份:限非僑生/交換生。"
"理學院","數學系","21013","MA1004-G","微積分","Calculus","廖勝強","3","Mon56/TR-A003 Wed34/TR-A003","必修","半","110","21013
MA1004	微積分
Calculus

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。
2	系所:限電機工程學系。年級:限非一年級。"
"理學院","物理學系","22004","PH1004-O","普通物理實驗","General Physics Laboratory","粘正勳","1","Tue567/S4-101","必修","全","60","22004
PH1004	普通物理實驗
General Physics Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。"
"理學院","物理學系","22005","PH1004-P","普通物理實驗","General Physics Laboratory","鄭劭家","1","Tue567/S4-102","必修","全","60","22005
PH1004	普通物理實驗
General Physics Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。"
"理學院","物理學系","22019","PH1032-E","普通物理A","General Physics A","林伯儒","3","Mon78/E1-120 Thu12/E1-120","必修","全","70","22019
PH1032	普通物理A
General Physics A

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。
3	系所:限理學院學士班。年級:限一年級。"
"理學院","物理學系","22020","PH1032-F","普通物理A","General Physics A","陳永富","3","Mon78/E1-121 Thu12/E1-121","必修","全","70","22020
PH1032	普通物理A
General Physics A

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。
3	系所:限理學院學士班。年級:限一年級。"
"資訊電機學院","電機工程學系","51001","EE1006-A","數位邏輯實驗","Digital Logic Circuit Laboratories","薛木添","1","Tue89A/E1-223","必修","半","66","51001
EE1006	數位邏輯實驗
Digital Logic Circuit Laboratories

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51002","EE1006-B","數位邏輯實驗","Digital Logic Circuit Laboratories","薛木添","1","Fri789/E1-223","必修","半","66","51002
EE1006	數位邏輯實驗
Digital Logic Circuit Laboratories

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51003","EE1010-A","工程數學-微分方程","Engineering Mathematics-Differential Equation","徐國鎧","3","Mon34/E1-121 Wed2/E1-121","必修","半","80","51003
EE1010	工程數學-微分方程
Engineering Mathematics-Differential Equation

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51004","EE1010-B","工程數學-微分方程","Engineering Mathematics-Differential Equation","姚毓峰","3","Mon34/E1-120 Wed2/E1-120","必修","半","80","51004
EE1010	工程數學-微分方程
Engineering Mathematics-Differential Equation

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51005","EE2002-*","電路學 Ｉ","Electrical Circuits Ⅰ","龔存雄","3","Wed6/E1-102 Thu56/E1-102","必修","半","120","51005
EE2002	電路學 Ｉ
Electrical Circuits Ⅰ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A、B。
2	系所:限電機工程學系。年級:限二年級、三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。
4	身份:限申請校學士。"
"資訊電機學院","電機工程學系","51006","EE2009-A","電子學 Ⅱ","Electronics Ⅱ","許鈞瓏","3","Mon5/E1-121 Wed56/E1-121","必修","半","95","51006
EE2009	電子學 Ⅱ
Electronics Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限A。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。
4	身份:限申請校學士。"
"資訊電機學院","電機工程學系","51007","EE2009-B","電子學 Ⅱ","Electronics Ⅱ","薛木添","3","Mon5/E1-120 Wed56/E1-120","必修","半","70","51007
EE2009	電子學 Ⅱ
Electronics Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限B。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。
4	身份:限申請校學士。"
"資訊電機學院","電機工程學系","51008","EE2015-A","電磁學 Ⅱ","Electromagnetics Ⅱ","傅家相","3","Mon6/E1-121 Wed34/E1-123","必修","半","無","51008
EE2015	電磁學 Ⅱ
Electromagnetics Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限A。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51009","EE2015-B","電磁學 Ⅱ","Electromagnetics Ⅱ","丘增杰","3","Mon6/E1-120 Wed34/E1-120","必修","半","80","51009
EE2015	電磁學 Ⅱ
Electromagnetics Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限B。
2	系所:限電機工程學系。年級:限三年級、四年級、五年級、六年級。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。
4	學院:限資訊電機學院。
5	學院:限非資訊電機學院。
6	身份:限申請校學士。"
"資訊電機學院","電機工程學系","51011","EE2025-*","材料科學與工程導論 [已停開]","An Introduction to Materials Science and Engineering","杜長慶","3","Fri567/E1-110","選修","半","40","51011
EE2025	材料科學與工程導論
An Introduction to Materials Science and Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系。"
"資訊電機學院","電機工程學系","51012","EE2028-A","電子電路實驗Ⅱ","Electronic Circuits Laboratory Ⅱ","鄭國興","1","Mon789/E1-223","必修","半","66","51012
EE2028	電子電路實驗Ⅱ
Electronic Circuits Laboratory Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限A。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51013","EE2028-B","電子電路實驗Ⅱ","Electronic Circuits Laboratory Ⅱ","鄭國興","1","Fri234/E1-223","必修","半","66","51013
EE2028	電子電路實驗Ⅱ
Electronic Circuits Laboratory Ⅱ

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。班別:限B。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。
4	身份:限申請校學士。"
"資訊電機學院","電機工程學系","51014","EE3009-*","信號與系統","Signals and System","李柏磊","3","Mon34/E1-124 Thu6/E1-124","必修","半","120","51014
EE3009	信號與系統
Signals and System

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。
2	系所:限電機工程學系。年級:限三年級、四年級。
3	系所:限資訊電機學院學士班、輔系-電機工程學系、雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51016","EE3029-*","固態電子學導論","Introduction to Solid State Electronics","唐英瓚","3","MonZ56/E1-124","選修","半","120","51016
EE3029	固態電子學導論
Introduction to Solid State Electronics

優先順序	相關條件限制說明
1	系所:限電機工程學系。
2	系所:限資訊工程學系、通訊工程學系、資訊電機學院學士班。
3	學院:限非資訊電機學院。"
"資訊電機學院","電機工程學系","51018","EE3046-*","微算機原理與實作","Microcomputer Theory and Laboratory","蔡章仁","3","MonABC/E1-223","選修","半","70","51018
EE3046	微算機原理與實作
Microcomputer Theory and Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限四年級。
2	系所:限電機工程學系。年級:限三年級。
3	系所:限電機工程學系。年級:限二年級。
4	系所:限資訊電機學院學士班。
5	學院:限資訊電機學院。"
"資訊電機學院","電機工程學系","51024","EE3057-*","半導體產業及IC應用與測試概論 [已停開]","More Semi, More Testing","陳正一","1","Wed67/E1-101","選修","半","54","51024
EE3057	半導體產業及IC應用與測試概論
More Semi, More Testing

優先順序	相關條件限制說明
1	系所:限電機工程學系。"
"資訊電機學院","電機工程學系","51025","EE3058-*","人工智慧晶片設計導論","Introduction to AI Chip Design","許鈞瓏","3","Mon2/E1-102 Fri56/E1-102","選修","半","120","51025
EE3058	人工智慧晶片設計導論
Introduction to AI Chip Design

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級、三年級、四年級。
2	系所:限資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級、三年級、四年級。
2	系所:限輔系-電機工程學系、雙主修-電機工程學系。
3	學制:限學士班。學院:限資訊電機學院。"
"資訊電機學院","電機工程學系","51028","EE4012-*","超大型積體電路系統設計","VLSI System Design","李進福","3","Wed234/E1-124","選修","半","50","51028
EE4012	超大型積體電路系統設計
VLSI System Design

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51029","EE4013-*","通訊系統","Communication System","魏瑞益","3","Thu34/E1-102 Fri2/E1-102","選修","半","60","51029
EE4013	通訊系統
Communication System

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51030","EE4020-*","機率","Probability","唐之瑋","3","Mon34/E1-102 Wed2/E1-102","選修","半","65","51030
EE4020	機率
Probability

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限三年級、四年級。
2	系所:限雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51033","EE4032-*","類比積體電路導論","Introduction to Analog Integrated Circuit","鄭國興","3","Tue567/E1-124","選修","半","120","51033
EE4032	類比積體電路導論
Introduction to Analog Integrated Circuit

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限四年級。
2	系所:限電機工程學系。年級:限三年級。
3	系所:限雙主修-電機工程學系。
3	系所:限資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51035","EE4036-*","電磁波實驗","Electromagnetics Laboratories","傅家相
張鴻埜","3","Mon789/E1-102","選修","半","50","51035
EE4036	電磁波實驗
Electromagnetics Laboratories

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級、四年級。
2	系所:限雙主修-電機工程學系。"
"資訊電機學院","電機工程學系","51036","EE5018-*","天線專題","Special Topics in Antennas","丘增杰","3","Tue567/E1-110","選修","半","40","51036
EE5018	天線專題
Special Topics in Antennas

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51037","EE5021-*","醫電輔具與生物晶片","Medical Electric Prostheses and Biochips","龔存雄","3","Fri567/E1-120","選修","半","80","51037
EE5021	醫電輔具與生物晶片
Medical Electric Prostheses and Biochips

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班、電機工程學系產業博士班。
2	系所:限電機工程學系。年級:限四年級。"
"資訊電機學院","電機工程學系","51039","EE6012-*","適應控制","Adaptive Control","吳俊緯","3","Thu567/E1-019","選修","半","20","51039
EE6012	適應控制
Adaptive Control

優先順序	相關條件限制說明
1	學制:限碩士班、博士班。學院:限資訊電機學院。系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限四年級。"
"資訊電機學院","電機工程學系","51041","EE6036-*","非線性系統分析","Analysis of Nonlinear Systems","吳俊緯","3","Tue567/E1-111","選修","半","20","51041
EE6036	非線性系統分析
Analysis of Nonlinear Systems

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限四年級。
3	學制:限學士班。學院:限資訊電機學院。"
"資訊電機學院","電機工程學系","51042","EE6084-A","書報討論","Seminar","陳正一","0","Wed78/E1-123","必修","半","無","51042
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班。年級:限一年級、二年級。
1	系所:限電機工程學系博士班、電機工程學系產業博士班。年級:限一年級、二年級、三年級。
2	系所:限電機工程學系碩士班、電機工程學系博士班、電機工程學系產業博士班。"
"資訊電機學院","電機工程學系","51043","EE6084-B","書報討論","Seminar","李柏磊","0","Wed78/E1-234","必修","半","無","51043
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51044","EE6084-C","書報討論","Seminar","張鴻埜","0","Wed78/E1-019","必修","半","無","51044
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51045","EE6084-D","書報討論","Seminar","郭明庭","0","Wed78/E1-121","必修","半","無","51045
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51046","EE6084-E","書報討論","Seminar","周求致","0","Wed78/E1-120","必修","半","無","51046
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51047","EE6084-F","書報討論","Seminar","許鈞瓏","0","Wed78/E1-124","必修","半","無","51047
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51048","EE6084-G","書報討論","Seminar","徐國鎧","0","Wed78/E1-123","必修","半","無","51048
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51054","EE8014-*","微波積體電路","Microwave Integrated Circuit","邱煥凱","3","Mon234/E1-107","選修","半","50","51054
EE8014	微波積體電路
Microwave Integrated Circuit

優先順序	相關條件限制說明
1	學制:限碩士班、博士班。學院:限資訊電機學院。系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51055","EE8015-*","通訊多媒體核心設計","Multimedia Communication IP Design","蔡宗漢","3","Thu678/E1-110","選修","半","30","51055
EE8015	通訊多媒體核心設計
Multimedia Communication IP Design

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。年級:限一年級。
2	系所:限電機工程學系、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51060","EE8050-*","微波電路實作","Microwave Circuit Laboratory","凃文化","3","Mon34/E1-110 Fri34/E1-110","選修","半","40","51060
EE8050	微波電路實作
Microwave Circuit Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、雙主修-電機工程學系。年級:限四年級。"
"資訊電機學院","電機工程學系","51062","EE8061-*","半導體製程實務","Semiconductor Technology Seminar","黃郁惠
陳正一
郭明庭","3","Fri678/E1-124","選修","半","120","51062
EE8061	半導體製程實務
Semiconductor Technology Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。
2	系所:限電機工程學系。年級:限一年級、二年級、三年級、四年級。
3	系所:限資訊工程學系碩士班、通訊工程學系碩士班、資訊工程學系博士班、通訊工程學系博士班。
4	系所:限資訊工程學系、通訊工程學系、資訊電機學院學士班。"
"資訊電機學院","電機工程學系","51063","EE8085-*","微波傳輸線電路","Microwave transmission line circuits","凃文化","3","Mon567/E1-123","選修","半","40","51063
EE8085	微波傳輸線電路
Microwave transmission line circuits

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51065","EE8091-*","信號完整度與電磁相容","Signal Integrity and Electromagnetic Compatibility","周求致","3","Thu234/E1-123","選修","半","80","51065
EE8091	信號完整度與電磁相容
Signal Integrity and Electromagnetic Compatibility

優先順序	相關條件限制說明
1	系所:限電機工程學系、電機工程學系碩士班、電機工程學系博士班。
2	系所:限資訊電機學院學士班。"
"資訊電機學院","電機工程學系","51068","EE6084-H","書報討論","Seminar","林法正","0","Wed78/E1-123","必修","半","無","51068
EE6084	書報討論
Seminar

優先順序	相關條件限制說明
1	系所:限電機工程學系碩士班、電機工程學系博士班。"
"資訊電機學院","電機工程學系","51069","EE3055-*","控制工程實驗","CONTROL ENGINEERING LABORATORY","藍建武","3","Mon678/E1-019","選修","半","40","51069
EE3055	控制工程實驗
CONTROL ENGINEERING LABORATORY

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限四年級。
2	系所:限電機工程學系。年級:限三年級。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。年級:限三年級、四年級。
4	系所:限資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51070","EE4009-*","自動化工程","Introduction to Automation Engineering","藍建武","3","Thu345/E1-121","選修","半","40","51070
EE4009	自動化工程
Introduction to Automation Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限四年級。
2	系所:限電機工程學系。年級:限三年級。
3	系所:限輔系-電機工程學系、雙主修-電機工程學系。年級:限三年級、四年級。
4	系所:限資訊電機學院學士班。年級:限三年級、四年級。"
"資訊電機學院","電機工程學系","51071","EE3044-*","數位系統設計與實作","Digital System Design and Implementation","陳聿廣
黃郁惠","3","Tue567/E1-102","選修","半","110","51071
EE3044	數位系統設計與實作
Digital System Design and Implementation

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限二年級。"
"資訊電機學院","通訊工程學系","53010","CO3005-*","網路概論","Computer Networks","許獻聰","3","Wed6/E1-105 Thu34/E1-105","必修","半","50","53010
CO3005	網路概論
Computer Networks

優先順序	相關條件限制說明
1	系所:限通訊工程學系。年級:限二年級。
2	系所:限通訊工程學系。年級:限三年級、四年級。
3	系所:限通訊工程學系、資訊電機學院學士班。
4	系所:限輔系-通訊工程學系、雙主修-通訊工程學系、第二專長-通訊工程。
5	系所:限電機工程學系、資訊工程學系。"
"資訊電機學院","通訊工程學系","53013","CO3024-*","通訊網路實驗","Communication Network Experiment","許獻聰
胡誌麟
陳彥文","3","WedABC/E1-219","選修","半","60","53013
CO3024	通訊網路實驗
Communication Network Experiment

優先順序	相關條件限制說明
1	系所:限通訊工程學系。年級:限三年級、四年級。
2	系所:限電機工程學系。年級:限四年級。
3	系所:限電機工程學系、資訊電機學院學士班。年級:限三年級。
4	系所:限雙主修-通訊工程學系。"
